iter	Passed	Remaining
0	1	103
1	1	97
2	2	95
3	3	88
4	4	86
5	5	85
6	6	83
7	7	84
8	8	83
9	9	82
10	10	81
11	11	81
12	11	80
13	13	79
14	13	79
15	14	78
16	15	77
17	16	75
18	17	74
19	18	73
20	19	72
21	20	71
22	20	70
23	21	68
24	22	67
25	23	67
26	24	66
27	25	65
28	26	64
29	27	63
30	28	62
31	29	61
32	30	61
33	31	60
34	32	59
35	33	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	54
41	37	52
42	38	51
43	39	50
44	40	49
45	41	49
46	42	48
47	43	47
48	44	46
49	45	45
50	46	44
51	47	43
52	48	42
53	49	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	59	32
65	60	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	24
74	69	23
75	70	22
76	71	21
77	72	20
78	73	19
79	74	18
80	75	17
81	76	16
82	77	15
83	78	14
84	79	13
85	79	13
86	80	12
87	81	11
88	82	10
89	83	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
